kanban,address,location
R016,C-02-01,1
R017,C-02-02,2
R018,C-02-03,3
R019,C-02-04,4
R020,C-02-05,5
R021,C-02-06,6
R022,C-02-07,7
R023,C-02-08,8
R024,C-02-09,9
