kanban,address,location,Dolly
R016,C-02-01,1,red
R017,C-02-02,2,red
R018,C-02-03,3,red
R019,C-02-04,4,red
R020,C-02-05,5,red
R021,C-02-06,6,red
R022,C-02-07,7,red
R023,C-02-08,8,red
R024,C-02-09,9,red
